Row Labels,Average of T2M,Sum of PRECTOTCORR
10,26.55290323,269.45
11,23.051,97.06
12,19.69451613,63.88
2024,26.4789781,2093.22
1,16.30903226,27.21
2,20.75344828,35.97
3,25.34935484,113.32
4,30.827,62.04
5,29.92032258,449.93
6,29.17133333,528.09
7,29.35516129,251
8,28.00741935,435.1
9,28.542,190.56
Grand Total,25.58737588,43144.51
